"module name","license","repository"
"@webassemblyjs/ast@1.5.13","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/floating-point-hex-parser@1.5.13","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-api-error@1.5.13","MIT",""
"@webassemblyjs/helper-buffer@1.5.13","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-code-frame@1.5.13","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-fsm@1.5.13","ISC",""
"@webassemblyjs/helper-module-context@1.5.13","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-wasm-bytecode@1.5.13","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-wasm-section@1.5.13","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/ieee754@1.5.13","MIT",""
"@webassemblyjs/leb128@1.5.13","MIT",""
"@webassemblyjs/utf8@1.5.13","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-edit@1.5.13","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-gen@1.5.13","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-opt@1.5.13","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-parser@1.5.13","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wast-parser@1.5.13","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wast-printer@1.5.13","MIT","https://github.com/xtuc/webassemblyjs"
"BenchmarkingCharts@0.0.1","ISC",""
"acorn-dynamic-import@3.0.0","MIT","https://github.com/kesne/acorn-dynamic-import"
"acorn@5.7.1","MIT","https://github.com/acornjs/acorn"
"ajv-keywords@3.2.0","MIT","https://github.com/epoberezkin/ajv-keywords"
"ajv@6.5.2","MIT","https://github.com/epoberezkin/ajv"
"ansi-escapes@3.1.0","MIT","https://github.com/sindresorhus/ansi-escapes"
"ansi-regex@2.1.1","MIT","https://github.com/chalk/ansi-regex"
